Module                  Size  Used by
snd_seq_device         16384  4 snd_seq,snd_seq_midi,snd_ump,snd_rawmidi
wmi_bmof               12288  0
gigabyte_wmi           12288  0
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
input_leds             12288  0
mei_me                 53248  2
drm_ttm_helper         16384  1 nvidia_drm
snd                   143360  26 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_usb_audio,snd_usbmidi_lib,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_soc_core,snd_ump,snd_pcm,snd_rawmidi
ttm                   126976  1 drm_ttm_helper
mc                     81920  5 videodev,snd_usb_audio,videobuf2_v4l2,uvcvideo,videobuf2_common
soundcore              16384  1 snd
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
serial_multi_instantiate    16384  0
joydev                 32768  0
intel_pmc_core        135168  0
pmt_telemetry          16384  1 intel_pmc_core
pmt_discovery          20480  1 pmt_telemetry
apple_mfi_fastcharge    16384  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
acpi_pad              184320  0
acpi_tad               20480  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
nvme_fabrics           36864  0
efi_pstore             12288  0
nfnetlink              20480  6 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  8 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_nat,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
hid_apple              28672  0
hid_generic            12288  0
usbhid                 77824  0
hid                   262144  4 usbhid,hid_apple,snd_soc_sdca,hid_generic
nvme                   61440  0
nvme_core             233472  2 nvme,nvme_fabrics
r8169                 139264  0
nvme_keyring           20480  2 nvme_core,nvme_fabrics
ahci                   49152  2
realtek                49152  1
nvme_auth              28672  1 nvme_core
libahci                53248  1 ahci
video                  77824  1 nvidia_modeset
wmi                    28672  3 video,gigabyte_wmi,wmi_bmof
